,A,B,C,D
2000-01-01,1.3020556120847926,0.8978731604795226,-0.7714988699813407,-1.2685043980063364
2000-01-02,0.49799613430919765,-0.9029793710853214,-0.6354318306837499,0.5319043230919331
2000-01-03,1.1050646179075598,-0.3860228640848782,-0.062656633033918,1.523594728334679
2000-01-04,1.8635738810047813,-0.14373799070207494,1.1086978108989147,3.249462893988916
2000-01-05,2.791092092002551,-1.2758890685387958,0.7250676420994341,3.690577289881928
2000-01-06,1.5368413234942442,-0.5033429609849308,0.24561542698865835,4.056581080042044
2000-01-07,1.3066085816827653,0.6486971609010538,-0.7312795752108932,4.452794713981897
2000-01-08,0.49259979735580095,-0.3204115883787555,0.6759151088258497,3.316555858732933
2000-01-09,0.179222138596544,-0.5577522016541144,0.06728964685925831,3.444731927009337
2000-01-10,-0.7606292117782664,-2.8289088764959285,-0.0640889828586568,4.125355057670166
2000-01-11,-1.9998815323705523,-0.6948903325736211,-1.0474718614692764,3.2127713770522064
2000-01-12,-3.0047539235590337,-0.1745883402288536,-1.0621032468380158,2.4919059072010956
2000-01-13,-2.853899848671725,-0.4795135000316075,-1.765290453217613,4.287906534955189
2000-01-14,-2.2693520659064297,-0.5321305575502848,-1.9876296263081612,5.405130650384355
2000-01-15,-3.165376984305764,-0.7518416570160324,-1.8620347318243644,5.314050567580004
2000-01-16,-1.2924871236426136,-1.6118571162118154,-2.1322284519529546,5.6299774466446415
2000-01-17,0.771977410465374,0.1535706031898716,-1.4624010774746725,6.705228932979194
2000-01-18,1.3083179441066273,1.0525711716623694,-1.6170695574026042,7.093102924172412
2000-01-19,1.8229302050168559,1.1469020418197484,-3.6697650302177953,6.94965384340877
2000-01-20,2.4951336349994775,0.9314012221547351,-5.471898817157155,8.909179999470231
2000-01-21,0.5107094847523119,2.1088101306041787,-6.254364513698658,8.056141020398037
2000-01-22,0.164092769602751,2.650493904311931,-4.230751857886123,8.294954724864194
2000-01-23,1.0183040722912482,2.3423549954978338,-3.4481222670720943,7.377859468745774
2000-01-24,0.4176492524384068,2.522580822490131,-2.971720829014179,6.265917674718888
2000-01-25,-0.049589012927868326,2.320840766440499,-4.5951553032673305,5.432164513276746
2000-01-26,-0.12682423307210455,1.6036531138731935,-5.670019714444084,6.0147286931567105
2000-01-27,-1.1860853835678105,-0.30562825557579565,-6.772399586420569,6.103501120755029
2000-01-28,-1.5364047226856048,0.8157931928374136,-5.873511953046677,5.8110259589696875
2000-01-29,-1.8254281074810275,1.1751553912188768,-5.906885166094397,5.1382390798909325
2000-01-30,-2.5798313411402227,-0.6591185345979034,-4.962570724759673,5.650879368132341
2000-01-31,-3.2435020867722164,1.0313795150640648,-6.3965346073767675,4.948874442376733
2000-02-01,-2.0078235550768424,0.6066647641617817,-4.754337634281227,5.370849027655791
2000-02-02,-2.483275287724322,-0.35193796559843316,-3.321527502279767,3.5932367765566813
